DISTRICT_CODE,DISTRICT_NAME,member_2015,instruction_2015,pupilstaffsupport_2015,admin_2015,operations_2015,transportation_2015,facility_2015,foodcommservice_2015,member_2016,instruction_2016,pupilstaffsupport_2016,admin_2016,operations_2016,transportation_2016,facility_2016,foodcommservice_2016,member_2017,instruction_2017,pupilstaffsupport_2017,admin_2017,operations_2017,transportation_2017,facility_2017,foodcommservice_2017,member_2018,instruction_2018,pupilstaffsupport_2018,admin_2018,operations_2018,transportation_2018,facility_2018,foodcommservice_2018,member_2019,instruction_2019,pupilstaffsupport_2019,admin_2019,operations_2019,transportation_2019,facility_2019,foodcommservice_2019,member_2020,instruction_2020,pupilstaffsupport_2020,admin_2020,operations_2020,transportation_2020,facility_2020,foodcommservice_2020,member_2021,instruction_2021,pupilstaffsupport_2021,admin_2021,operations_2021,transportation_2021,facility_2021,foodcommservice_2021,member_2022,instruction_2022,pupilstaffsupport_2022,admin_2022,operations_2022,transportation_2022,facility_2022,foodcommservice_2022,member_2023,instruction_2023,pupilstaffsupport_2023,admin_2023,operations_2023,transportation_2023,facility_2023,foodcommservice_2023
7,Abbotsford,705,3846139,494020,779695,1654902,338041,1145166,506419,711,4173253,395109,851615,1396952,322295,1312801,489376,741,4474094,395533,854634,2100776,327886,623754,584923,771,4712764,558287,871757,2018704,334310,683000,552631,767,4900421.54,532611.13,1006530.8,1788218.1,333778.82,1274752,603227.06,775,5537677.76,626845.61,953465.76,1178853.75,285017.43,690000,624371.52,795,5864021.77,561306.41,951675.18,1306162.74,284588.19,713053.29,674102.51,809,6021265.8,568773.08,1020837.45,1318912.74,347890.81,1773587.99,725906.39,826,6291106.21,585313.77,1058649.97,1481459.64,372309.25,1758339.29,777542.25
14,Adams-Friendship Area,1663,11971105,1921545,1966728,3230799,1124457,1661602,1329989,1647,11167857,2675542,2080255,3445755,1034264,1632134,1351034,1689,11772910,2059052,2200223,3502952,1125423,1539410,1299130,1663,11315823,2110929,2115174,3129814,1130667,2797284,1219919,1606,11697411.8,2168049.91,1978723.2,3029979.29,1092288.17,886529.6,1216415.84,1511,12260874.21,2285988.23,2069684.15,2667794.18,788916.08,118519.6,1287245.82,1403,11976390.8,2655612.4,1895886.72,2863801.83,964664.79,172144.3,1277857.45,1497,13138363.37,2379481.11,1873011.99,2875921.25,1117511.07,1191387.1,1418843.93,1433,13289542.77,2658589.62,2071272.76,2911398.85,1186692.68,1090164.1,1483608.37
63,Albany,426,3487686,671993,782534,480346,225174,471325,191927,423,3400625,452692,814969,404977,231762,346175,235112,424,3556524,443658,630361,373905,218796,394907,157080,417,3509101,356682,607622,624029,236956,413497,174214,449,3859375.73,596690.64,548240.99,616718.39,242293.4,417849,176392.32,456,3967462.8,637903.47,537812.71,734957.61,205236.89,493704.16,169144.79,410,4036545.03,654396.92,523224.33,804264.88,234252.94,476722.23,136182.86,408,4224413.9,711985.23,511818.76,749745.03,262392.7,511085.92,180079.1,397,4455761.61,640337.59,672852.21,955262.73,283889.63,394676.8,192959.9
70,Algoma,723,4354498,694201,660122,1105356,228775,1201890,469526,744,4259819,754202,763085,1217223,226668,581060,461665,749,4211549,811028,747535,1374664,265190,510569,539232,733,4178318,711313,783953,1562040,287667,469243,544778,750,4573925.75,837964.41,921026.55,1426256.96,252000.13,873236.41,660564.44,753,4781520.79,898721.25,802739.75,1685124.12,230456.88,443129.64,716421.44,696,4956397.67,724594.5,806362.25,1722076.68,222379.63,1026480.71,719352.65,722,5550505.62,828923.77,985525.1,1456743.49,368634.87,425522.32,739714.95,743,6404527.3,983294.43,1075862.67,1300098.68,311016.15,1522430.18,1052425.12
84,Alma,220,1807071,215117,425629,474188,216108,0,143972,223,1806928,170625,405181,437508,354886,162684,163114,220,1749262,229168,412934,437174,233040,209383,158203,219,1731408,223417,454990,524144,242619,234553,158534,223,1687675.82,244134.34,411002.76,578439.43,204943.85,258478.19,163031.75,234,1819498.14,245575.34,421839,501027.43,370568.82,284374.3,169950.31,222,1898624.45,300178.05,441734.72,467461.02,192826.79,326482.3,176462.82,240,2033650.59,406828.54,455254.43,543134.72,218772.97,348962.79,204186.64,233,1842704.44,433819.04,466514.73,478652.76,195103.79,228633.75,223044.04
91,Alma Center,613,4035388,449266,753114,1291940,403438,660389,377208,570,3891973,434242,744077,1741586,324922,671553,361426,569,4021816,467438,728341,1050506,464790,1051892,379178,554,4157245,488147,778906,1213330,354809,580124,364572,569,4242835.42,500302.24,784053.44,1160250.8,365731.75,1458297.16,400766.36,549,4210811.5,501260.45,874722.07,1135391.23,394186.3,1765654.77,498521.51,533,4531126.89,448422.88,800960.61,1227637.49,267997.34,1093982.93,400919.89,525,4760667.93,633876.26,842967.8,1441378.22,520478.99,916678.38,486267.94,511,4934391.97,609899.08,860961.24,1686491.58,406169.56,905804.28,600376.22
105,Almond-Bancroft,465,3447031,402786,480499,703189,396369,457678,248162,458,3367749,442599,486003,763918,401084,521968,232106,462,3428828,432714,494128,783542,411879,535239,213276,454,3379472,412091,535999,883701,419714,568258,207233,452,3647329.7,496836.49,482656.49,805753.76,402405.98,115421.48,215999.29,440,3474067.73,426721.79,561524.43,694636.73,363358.21,235790.05,264715.19,438,3701741.38,436248.71,503816.46,787122.47,373966.98,267355.63,234469.71,453,4209625.49,395243.64,486507.98,761124,445826.16,88494.03,270894,450,4157910.9,471802.7,538752.88,828254.91,445992.68,99883.52,276731.39
112,Altoona,1473,10351319,1991003,1407037,1823270,800775,16694,626715,1516,10663227,2191719,1526762,1587566,755299,2717579,686887,1490,10358056,2160980,1624979,2242630,732427,1802201,920336,1513,10114775,2593750,1905303,1991304,761606,2108874,833447,1517,10618675.45,2245475.83,1813939.75,2790158.14,867232.92,1944548.13,874634.33,1572,10792950.11,2283525.9,1830202.67,2772777.54,797481.56,2229055.34,807786.77,1581,11290980.5,2439957.97,1820544.68,3099387.65,872175.88,1844914.95,1127206.57,1668,11877714.56,2670408.88,2182141.97,2443121.67,1008730.57,1652556.93,1251011.33,1713,12754967.61,2879732.24,2266932.83,3009677.77,1102955.42,3299024.55,1350056.55
119,Amery,1597,11426968,1565929,1672925,2653602,862919,2297421,1207602,1584,11070302,1454457,1811615,2999120,848513,2010754,1532359,1601,11208688,1510164,2141611,2208545,917436,2787765,1544749,1642,12169063,1690764,2054977,2054452,938185,2794040,1693739,1653,11944971.92,1837532.28,2049050.98,2723992.12,1150719.85,2114883.46,1818554.53,1622,11933921.37,1928728.16,2108661.66,3075043.36,825989.94,2284945.77,1833644.49,1456,12893951.87,2048231.25,1891074.78,3479792.35,696789.85,1881477.61,1920012.2,1510,13521384.64,1984440.01,2139098.82,3172936.37,980922.36,1048630.34,2200753.09,1467,13757819.62,2274662.88,2300807.2,2999139.24,1073801.7,2931540.06,2587986.5
140,Antigo,2464,16438493,2784135,2796050,4104637,2004969,672698,1685001,2447,15687068,2882392,2897079,3878822,1718657,500569,1731354,2427,15938789,2718257,2870677,3995494,1794049,973256,1637828,2400,15764881,2384593,2838210,4505844,1755379,972753,1478144,2383,17090152.47,2725332.81,2868460.02,3847201.25,1734648.55,1233154,1615103.89,2323,16619155.93,2907036.3,2839485.28,3644798.37,1355180.76,850433.41,1563716.46,2175,17339584.33,3521548.05,2826528.65,4300995.33,1336893.55,1322070.18,1400180.42,2231,17854163.02,3750534.63,2958165.79,3858903.48,1480915.92,635750.2,1673802.44,2224,18646986.65,3653595.77,3084843.53,3681764.5,1340119.13,363639.65,2275580.44
